id,embedding,reduced_embedding
2078,"[-0.37583864 -0.65742552 -2.55240178  3.56195068  1.55290496 -2.0468657
  3.39785314 -3.44017887 -3.12256193  2.16094041 -2.67771387  0.64883703
 -3.63943839  1.88221288 -0.90434426  0.53881907]",[ 8.368469  -9.8826685]
1840,"[-1.17903817 -1.67780781 -1.93763041  3.73633933  1.59294462 -1.05060887
  3.32752705 -2.70540237 -2.51830649  0.98049223 -2.00726175 -0.13511047
 -4.42978048  2.43226361 -1.2879895   0.48304561]",[ 6.8547797 -8.327053 ]
1815,"[-2.79534578  2.36104918 -3.78617835  2.67639732 -0.24520966 -1.19238138
  1.90930486  1.17026067 -3.67782617  0.35704976 -0.31687415 -2.89744043
 -4.98583174  0.74375248 -2.6793766   1.22808063]",[-20.324368    2.0030105]
1938,"[-1.72592676  0.66130066 -4.22704744  2.57932878  1.29816425 -0.25604022
  2.03983951  0.08656259 -3.80082798 -0.80051267 -0.62350941 -1.30666184
 -5.52317762  1.34128511 -1.33345366  1.87854767]",[-11.521816   -1.0595907]
2242,"[-0.67301655 -2.15661764 -3.26927209  3.09862995 -0.27192941 -1.04908895
  3.95488095 -0.60623652 -2.36218309  1.41337693 -1.16607356 -0.51774657
 -2.683882    0.61239988 -1.06640553 -0.20966224]",[  2.140737 -12.873552]
1642,"[-1.76131988  0.26334241 -3.97387719  1.73943186  1.69856238 -0.6084795
  2.50026393  0.58475733 -3.10787773 -0.14995761  0.44045722 -1.77980566
 -5.48813486  0.25582132 -1.36127496  1.06075978]",[-13.52543    -1.5747633]
1694,"[-2.50126266 -2.52215052 -2.94027972  2.09130764  1.73747015  0.31568971
  3.21752906 -0.76107639 -0.39959499 -2.2461772  -2.53371048 -2.36019969
 -3.4262569   0.16982728 -3.4320395  -1.25590062]",[12.365688 26.58825 ]
1931,"[-2.33957434 -1.07498598 -2.29719043  2.91200733  1.55253077 -1.65425062
  3.30042982 -0.11880817 -2.37176561  0.93367749 -0.17674424 -1.52736521
 -4.48108768  1.34065354 -1.06513894  0.72947913]",[ -6.7392154 -11.079827 ]
1821,"[-2.77359915  2.22182703 -4.01092672  3.33564019  0.20565972 -1.41287518
  1.6213398   0.5498656  -4.47707081  1.26612306 -0.21787418 -1.89916468
 -4.85916471  0.5485394  -2.55153155  1.756809  ]",[-21.175764     0.13046932]
2250,"[-0.76866657 -2.05938053 -1.95050287  2.33182645  1.4587574  -0.64122599
  3.88010287 -2.20499539 -0.83972245  2.13797593 -1.01754403 -1.1803093
 -2.88689518 -0.04975856 -2.47296882 -0.0565366 ]",[ 2.5717835 -8.40261  ]
2175,"[-1.29069316 -0.87717009 -4.35766363  4.23927212 -1.15159833 -0.59162849
  2.13007236 -4.18202257 -1.57581758  1.01873469 -4.23712301 -0.34353599
  0.09417754  1.42005122 -4.77784348 -1.66661048]",[14.4059105  2.6884594]
2177,"[-1.19356191 -1.32408214 -4.43190861  3.56846428 -0.59070039 -0.50867504
  2.28986073 -3.83554268 -1.28941238  0.50299042 -4.07360649 -0.45992196
 -0.0665857   0.94607222 -4.84290695 -1.53192377]",[15.188211   2.9755888]
1829,"[-1.64918971 -0.69754899 -1.69337261  2.64185572  1.2916398  -1.43862629
  3.04268193 -1.02560246 -2.78864598  1.84150743  0.01127637 -3.49575496
 -4.90479898  0.28601199 -2.21527719  1.00095689]",[-12.661945  -14.8698225]
1901,"[-3.0390296  -2.01371455 -3.86410189  2.79102516  1.03542793  0.15615043
  2.24522996 -0.00856922 -1.38571084 -2.59044719 -2.16167259 -2.64206791
 -3.39396977 -0.44804159 -4.01263762 -0.91082191]",[ 6.818457 28.73674 ]
1782,"[-2.57053566 -0.88402635 -2.01168203  3.0810926   0.1875553  -1.95431221
  4.05439425  0.6605894  -2.39711046  0.97115088 -0.55843467 -1.24957621
 -4.43468332  0.43490538 -1.1854943   0.16446525]",[ -5.41809  -10.677569]
1777,"[-1.41393292 -2.30363417 -1.90013492  3.26985526  0.9313491  -0.82622147
  3.23063707 -4.05351639 -2.16130352  1.62486172 -2.66994691 -2.05814576
 -2.88797307  2.40063167 -2.83242989  0.17760785]",[ 8.215793  -3.3969717]
2233,"[-1.42169905 -1.65120816 -3.25936651  3.19877863  3.09000778 -0.493907
  2.91125202 -3.20223618 -2.15450978  0.12496918 -3.13442802  0.07595161
 -3.83725834  2.40843987 -2.22845674  0.41952068]",[ 6.6949167 -6.0789156]
1741,"[-2.12007403 -2.7716825  -3.25355911  2.40572023  0.35008201 -0.32538739
  2.71430898 -1.03144002 -0.59500116 -1.47451353 -2.68846107 -3.07097054
 -2.61471391 -1.18189156 -4.03035688 -1.78831589]",[12.83214  31.884005]
1687,"[-2.66915679 -1.63961995 -3.93709517  1.84841001  0.47928736  0.21721321
  2.33457708  0.09829597 -1.34220243 -2.26939559 -2.07358074 -2.08486891
 -3.74310184 -0.61199027 -3.78805399 -1.32393742]",[ 6.6198173 27.730234 ]
2269,"[-0.86837411 -3.11363363 -1.72389245  2.89185476  0.84553438 -1.60607862
  4.39392471 -2.29178023 -0.57247812  1.51950896 -1.18083584 -1.37465858
 -3.12743425  0.44279528 -1.5957309  -1.03542161]",[ 1.9701378 -7.8927283]
2160,"[-2.4435904  -1.43499017 -1.07625711  2.85315299  0.95725274 -1.4025352
  4.32502031  0.13938774 -2.25194764  2.08523083 -1.45975256 -1.43181038
 -4.24529219  1.67171586 -2.39094806 -0.53297091]",[ -4.8996572 -15.756041 ]
1811,"[-2.45746064  2.34946108 -4.0534606   2.41815686  0.67116624 -0.91622674
  1.79604578  0.09914441 -4.59506035  0.85018969 -0.42846087 -1.84919608
 -4.90902853  0.45314795 -2.20468664  1.41022575]",[-20.333433   -0.2609776]
1824,"[-2.00358248 -2.41090822 -1.6446681   2.69017887  1.52783895 -1.00049722
  2.99952316 -0.71260911 -1.98969865  1.91510546 -0.12194405 -3.66206193
 -3.93205523  0.71072185 -2.16628551  0.72376806]",[-10.86547  -15.375495]
2087,"[-1.97045028 -3.58508611 -3.89504099  2.79712057  0.72909355 -0.30117154
  2.72529769 -1.55775595 -0.30846775 -1.77497482 -2.30196023 -3.53759909
 -2.61157846 -1.0889883  -3.95829821 -1.68585575]",[14.960501 33.462063]
2166,"[-3.0400877   0.40171832 -1.43359971  3.60208058 -0.27822492 -1.43614936
  3.23717833 -0.82433158 -2.39198732  3.67680621 -2.45263672 -2.41018677
 -2.16983724  1.80587006 -4.75134277  0.31330836]",[ -2.9544308 -21.10969  ]
1869,"[-1.83855498 -0.80830592 -1.71882522  1.93561232  1.5444169  -1.0724715
  3.08083701  0.03351841 -2.45150161  1.67397094  0.12697588 -3.29068661
 -4.8531661  -0.29379967 -2.00758433  0.49710953]",[-12.937868 -13.984089]
2223,"[-0.34311983 -0.5896734  -2.57933235  3.48864985  1.56683934 -2.17555046
  3.6072247  -3.31306815 -3.03858662  2.67040253 -2.04775643  0.89764172
 -3.50320387  2.05925679 -1.0634129   0.55549997]",[  8.595098  -10.2287655]
1912,"[-1.75757229 -3.17528224 -3.63683414  2.43474555  0.95006037  0.0136269
  2.66943741 -1.85891974 -0.39157531 -1.42722523 -2.54054737 -3.38666439
 -3.02599931 -1.2173481  -3.91098809 -1.74270689]",[15.053315 32.949463]
1810,"[-2.59053779  2.03463745 -3.86121321  2.22300053  0.05768509 -0.69979709
  2.22756624  1.31642711 -4.10997677 -0.02669613  0.03431135 -1.97501528
 -4.83415174  0.65896517 -2.60618019  0.95884103]",[-19.660841    2.1452816]
1681,"[-2.21429181 -0.7340945  -3.69509411  2.60578156  1.31229138 -0.8205958
  2.54825759 -1.18636894 -2.78217292 -0.7490654  -0.9264341  -1.16586995
 -4.44407558 -0.3069455  -2.0625751   0.26077169]",[-4.2276235 -1.5764005]
1969,"[-2.24007607 -3.0818758  -4.00551844  2.78527999  0.24759699  0.19504322
  2.81803417 -1.14345694 -0.62516183 -1.30794609 -2.21864438 -2.77356672
 -2.41302252 -1.12343562 -4.2092514  -1.73342133]",[12.223822 32.910847]
2208,"[-1.48798704  0.14337845 -2.92859221  3.35706925 -0.36363798 -1.59484351
  3.47545815 -0.49312085 -2.39151192  1.68951404 -1.4230442  -0.63415802
 -2.24994874  0.21585378 -2.38288069 -0.79087961]",[  1.0547564 -15.819411 ]
1891,"[-3.4290216  -1.48831391 -3.02117038  2.34337425  0.80440962  0.21219845
  2.86735106 -0.67364508 -0.49887994 -1.61272883 -1.96128631 -2.89775991
 -3.33893824 -0.31001204 -5.33432627 -1.46151626]",[16.29203  25.679592]
2277,"[-1.44835019 -2.81464124 -1.68981743  1.30230117  2.21929049 -0.37695357
  4.17451048 -1.86515641  0.27912846  0.17059468 -1.57909417 -2.15510845
 -3.13511395 -0.20970446 -3.24318337 -1.0324825 ]",[12.502455 22.315464]
