id,embedding,reduced_embedding
2270,"[-1.04176736 -2.43214846 -1.64709616  2.9225812   0.85996372 -1.22156882
  4.43793058 -2.44686151 -0.93367678  1.7672596  -0.83416849 -1.34936607
 -3.28155041  0.83585823 -2.10965133 -0.3900815 ]",[ 2.2663798 -7.8727946]
2264,"[-0.53825223 -1.39746261 -3.36366272  2.84992743  0.01069906 -0.88102472
  3.67752266 -1.79632139 -2.01271081  1.28283918 -0.78195143 -0.61819524
 -3.23642159  0.34810075 -1.52827895  0.29375604]",[  1.6644309 -12.118663 ]
1711,"[-1.8910315  -3.14260793 -4.12465858  2.76062512  0.18023817 -0.05132698
  2.74158835 -1.30812359 -0.87169093 -1.07742715 -2.44962907 -3.20811224
 -2.51361895 -1.3669101  -3.88170791 -1.57510173]",[12.9720745 33.65823  ]
1971,"[-1.70872653 -3.48412442 -3.83452868  2.44215965  0.67824918  0.09161675
  2.76739264 -1.49457562 -0.20075445 -1.06331563 -2.35312176 -3.4193511
 -2.77897215 -1.60751915 -4.14999771 -1.74568272]",[14.326107 33.2134  ]
2069,"[-1.49652052 -0.28415689 -2.60677886  2.92304802  0.90854776 -2.25043154
  4.05458927 -1.47822618 -3.05356002  2.42950606 -1.70580137  0.00583191
 -3.63785362  0.72158951 -1.30555725  0.20705178]",[  6.2572136 -12.267512 ]
1846,"[-1.51803553  0.42241055 -4.17751217  2.43238378  1.76477253 -0.31130597
  2.32109427  0.75855815 -3.61542583 -0.13572153  0.03339139 -0.96279913
 -5.65278244  0.55878037 -1.21445799  1.27440619]",[-13.184193   -1.0660087]
2234,"[-1.39517677 -0.85557795 -2.28495049  3.25573611 -0.65887821 -1.47118604
  3.87376308 -0.5051443  -1.28986037  1.83805943 -1.56558406 -0.83746386
 -1.90694499  0.53852731 -2.37553406 -1.36444211]",[  0.28294668 -15.802     ]
2167,"[-2.47001982  0.18640307 -1.32395673  3.95846987  0.1858169  -0.99145335
  2.95541334 -1.54310238 -2.61833692  3.05200672 -2.74740005 -2.61130118
 -2.92409801  2.18658638 -4.60988331  0.48542941]",[ -3.0786183 -21.890982 ]
1816,"[-3.02244449  2.21101236 -3.63554573  2.49799943 -0.02040079 -1.24170947
  1.73067474  0.62925595 -4.15794992  1.08211386 -0.39160979 -1.98616683
 -4.54600286  0.54652703 -2.95611525  1.49544966]",[-21.015265    1.0722078]
2181,"[-1.47691596 -1.09894419 -4.49292707  3.87702703  0.22617796 -0.02811148
  2.2199769  -4.14349127 -1.20340765  0.18666163 -4.24022532 -0.43123201
 -0.66981882  1.7640754  -4.89592075 -1.15723789]",[15.496264  2.068456]
1904,"[-3.01929903 -1.8966471  -2.8825388   2.27120399  0.4445585  -0.05374882
  3.04604316 -0.46481782 -0.43155178 -1.4267962  -1.88850474 -2.89427614
 -3.2735877  -0.40813741 -4.99582529 -1.08626628]",[16.520655 26.193453]
1884,"[-2.7760613  -1.45556152 -3.83656597  2.14234161  0.98623568 -0.09474296
  2.38106298 -0.45653322 -1.28835464 -2.50879431 -2.08596563 -2.04849124
 -4.20405769 -0.45610097 -3.73910403 -1.10256231]",[ 5.915046 27.342726]
1780,"[-2.19451833 -0.45775151 -2.49145317  2.79707766  1.91111577 -1.71828127
  3.312639   -0.18922189 -2.54920197  0.63169688 -0.83376193 -0.63646162
 -4.57578135  1.4282763  -1.13750648  0.54670906]",[ -7.0455165 -10.256414 ]
1733,"[-1.86165392 -2.68955874 -4.05613899  2.21235991  0.72637457 -0.4145976
  2.93908    -1.12399614 -1.35149431 -1.78684998 -1.64126289 -2.15229225
 -3.15405536 -1.1615417  -3.14792967 -1.15099573]",[ 9.384459 25.6913  ]
1799,"[-1.57986975 -0.05913225 -4.38059235  3.18231678  0.47885415 -1.06998336
  2.06892514 -0.11021494 -3.79552031 -0.32190943 -0.65778697 -0.95974845
 -4.68504858  0.07975423 -0.88174129  1.0794692 ]",[-12.011097    1.9151305]
1854,"[-0.6632008  -2.50529099 -3.66789985  3.06526017  1.491364   -0.69473577
  2.56610417 -1.94644034 -2.8523109  -1.09416926 -1.91647124 -1.37149394
 -4.62439251  0.69317877 -0.21684664  0.44158316]",[-3.42054   -3.5681436]
1826,"[-1.88860774 -0.97516167 -1.76414645  2.08544779  0.55700338 -1.2635144
  3.25819802 -0.478659   -2.2991159   2.24838114  0.62202239 -3.07133698
 -4.39433432  0.14146462 -2.4119339   0.57047546]",[-12.10108  -14.083773]
1772,"[-1.16262913 -1.44198287 -3.72884893  3.46051598  1.58091104 -0.92415291
  2.69416904 -0.47123033 -3.33755755 -0.89920747 -1.29400587 -0.64036173
 -5.47638226  0.44904077  0.10301287  0.80115151]",[-5.9667387 -2.7315798]
2091,"[-3.31011415 -0.8610239  -3.63001323  1.82743227  1.00977993  0.20212349
  2.3767674   0.44802538 -1.11400771 -2.39480972 -1.87964487 -2.56108999
 -3.75328732  0.1132001  -4.08907032 -0.6704284 ]",[ 5.400443 29.083036]
1755,"[-2.35576606  2.46663713 -3.55850172  2.77461815 -0.08692906 -1.7163887
  2.02316332  0.3758907  -4.53542519  1.36174655 -0.52294582 -1.82018781
 -4.98488712  0.33198079 -2.08913207  1.32413685]",[-21.494713     0.43082967]
1778,"[-1.8618809  -1.72312284 -1.8668561   3.32807159  1.210572   -0.96868294
  3.29736853 -4.00898361 -1.27404666  1.51939476 -2.88528109 -1.86312008
 -2.66245556  1.73753047 -3.13718009 -0.370208  ]",[ 8.404838  -3.5805414]
2165,"[-2.70917177  0.45218608 -1.72557878  4.06738043  0.10444765 -1.23927653
  3.06491518 -1.33919382 -2.73589444  3.28603315 -2.26410174 -1.63644814
 -2.41443968  2.21591949 -4.57603407  0.55982089]",[ -2.908582 -21.72933 ]
1832,"[-1.94337535 -0.31563365 -1.8242718   2.41649318  0.98122543 -1.21913457
  2.86094165  0.07766195 -2.47636342  1.90938354 -0.33806357 -3.52140379
 -4.50269938 -0.17859684 -2.33225131  0.07033369]",[-12.697666 -13.671724]
1864,"[-1.03397202 -0.82908535 -4.43698978  2.53516769  0.8148241  -0.93383718
  2.70147586 -0.41050282 -2.83336735 -0.95019364 -0.53205448 -1.436041
 -4.4291029   0.53436619 -0.34170049  0.45928732]",[-6.047821  -1.1475368]
1812,"[-2.22656703  2.51599789 -3.69468403  2.75514746  0.6874755  -0.88522243
  1.7448945   0.37301636 -4.44561911  1.1736896   0.29711062 -2.02674818
 -5.57493353  0.36552766 -2.31870222  1.7632792 ]",[-20.673927    -0.67927855]
1789,"[-2.34267092 -0.39126274 -3.16766953  3.64773369  0.81960446 -2.09515858
  3.15307355 -0.11300123 -2.85742068  0.33267027 -0.68217659 -0.88788539
 -4.53952789  0.15321526 -0.87161613  0.42566136]",[-7.5403824 -8.923202 ]
2066,"[-1.76457119 -0.21450959 -3.02926683  2.59527326  1.80567765 -1.89496768
  3.71585512 -3.30182028 -2.30470252  2.0140388  -2.33041573  0.95282894
 -2.88684893  1.22408557 -2.40827394  0.38031077]",[10.060755 -8.376761]
2200,"[-2.2351656   0.49559417 -4.55602121  2.78635311  0.91416425 -0.38461447
  2.47281265  0.82821912 -3.32971859 -1.42375648 -0.60175776 -1.41994953
 -5.70003128  0.74267364 -1.25311375  1.07687914]",[-11.212051    0.6957792]
2153,"[-2.10381174 -1.78329587 -1.59312737  2.01025939  2.06613588 -1.11891079
  3.15361357 -1.35785508 -2.03385329  1.3430742  -0.82435209 -3.55655479
 -4.4825325   0.39548722 -2.04943347  0.40518001]",[-11.450087 -15.816304]
2222,"[-0.70511216 -1.1264677  -2.76249838  3.18465972  0.76825386 -1.82185912
  3.83360124 -2.90092278 -2.4120388   2.3377049  -1.81281817  0.23833489
 -2.85123873  1.50488567 -1.24641514  0.17890108]",[  7.4465857 -10.829406 ]
1962,"[-2.06480336 -2.99930859 -3.62835336  2.20681858  0.52105302 -0.07758973
  2.91687155 -0.51137286 -0.25417247 -1.03351736 -2.09237933 -3.45868492
 -2.75323939 -1.24666381 -3.97503924 -1.37024236]",[13.430667 31.440514]
1952,"[-2.71804571 -2.92597175 -3.35881352  2.25824046  1.40298688  0.14558424
  3.08112788 -0.99605662 -0.14358445 -1.57698035 -2.48627853 -3.50270391
 -2.89986563 -0.39932448 -4.36811256 -1.18645012]",[15.029731 29.173258]
1943,"[-1.65110087 -1.020666   -2.62603498  2.8560555   2.26419115 -0.15136786
  2.29213428 -1.82775354 -2.80432129  0.42386681 -1.3528316  -1.75483704
 -4.61467552  1.61514437 -1.46643925  1.16910768]",[-5.4440045 -5.338319 ]
1923,"[-2.12859368  1.29698431 -3.17716384  3.7984755   0.52236825 -1.046821
  2.19350696  0.45799592 -3.85408235  0.50761259 -0.32084519 -1.43443692
 -5.19269276  0.35218301 -2.08879137  1.137959  ]",[-18.308498     0.05031976]
1784,"[-2.70584249 -1.75414968 -1.87114227  2.9885385   1.22082973 -2.10420322
  4.02709866 -0.3063049  -1.66694129  1.78942347 -0.36240369 -1.58614683
 -3.96789789  0.68676794 -1.34846365 -0.27744499]",[ -4.8816705 -13.216649 ]
1700,"[-1.30635512 -0.83992165 -4.01940489  3.01745152  1.75861883 -0.64662999
  2.44789982 -0.70844209 -3.62532592 -0.26869044 -0.60016352 -0.67334062
 -4.82183743  1.10963905 -0.80769205  1.58243048]",[-8.319408  -3.2840123]
2178,"[-1.28947258e+00 -1.21449852e+00 -4.16508055e+00  3.77006912e+00
 -2.15156153e-02  3.00614815e-03  2.45991826e+00 -4.36747789e+00
 -1.00684845e+00  5.61713539e-02 -4.64150715e+00 -6.33502007e-01
 -3.48294348e-01  1.87893164e+00 -5.14449263e+00 -1.41312659e+00]",[15.6484785  2.4627328]
2273,"[-1.26801598 -2.24816751 -1.61364889  2.19840789  2.48311019 -1.29421794
  3.98112917 -2.29698133 -0.28440011  1.53700614 -1.03531349 -1.45069659
 -3.26409292  0.06707002 -2.20895004 -0.33766058]",[ 2.6496723 -7.547074 ]
2115,"[-1.06986892 -1.27352059 -4.76863241  4.16745567 -0.69074368 -0.13992295
  2.12577319 -4.57312965 -1.37546754  0.46780431 -4.60035372 -0.77628464
 -0.38333735  0.90564269 -4.70951128 -1.364815  ]",[14.977385   2.5502954]
1925,"[-1.86399686  1.26990199 -3.34183145  3.01861167  0.28397757 -1.04547548
  2.1505425   0.10738656 -3.74210906  0.50506485 -0.12753722 -1.91622651
 -5.41628504 -0.23519227 -2.02034855  0.85214132]",[-17.65888      0.35073078]
1682,"[-2.73896074 -1.80516517 -3.91341949  2.06497502  0.48887601 -0.19820864
  2.40549302  0.18633075 -1.31970906 -1.87712693 -2.14747858 -2.20427585
 -3.50713015 -0.54464287 -3.39546323 -1.07733774]",[ 6.7108045 27.82907  ]
1851,"[-2.03862262 -3.18198371 -3.03930998  2.3418963   2.28715634 -0.20049649
  3.27349401 -1.87395823 -0.08833703 -1.07629514 -2.45525718 -2.70384264
 -3.33343124 -0.28349411 -3.04660273 -1.08634198]",[12.389095 24.069841]
2180,"[-0.9704721  -1.29632115 -4.45903206  4.45143604 -0.53728795 -0.47052759
  1.8932184  -4.57925558 -1.72467446  0.37034115 -4.3824563  -0.69801313
 -0.29244372  1.52306151 -4.53761196 -1.44787312]",[14.770898   2.0362363]
1855,"[-1.7369802  -2.50402761 -4.59778118  2.78451324  1.16995716 -0.09634896
  2.14691138 -0.93642378 -1.64619195 -1.97259116 -2.04192901 -3.0303278
 -3.81272364 -0.8389883  -1.97070742 -0.76136148]",[ 7.61879  25.322145]
2211,"[-2.11165237 -0.00866855 -4.70167351  2.61637926 -0.02592115 -0.92361945
  2.34343004  1.02291417 -3.86533689 -1.23518097 -0.38358781 -0.9444015
 -4.64475489 -0.35538226 -1.5394814   0.39001644]",[-12.59307     3.4675407]
1944,"[-1.40061843 -1.97621953 -3.24770689  3.49927616  1.53282535 -0.72938371
  2.89350629 -0.93706989 -2.60060167 -0.28209081 -1.18507087 -1.32837677
 -4.80409575  0.52069283 -0.66008687  0.60693216]",[-4.5768933 -3.1785138]
1640,"[-1.54920638 -1.34059429 -3.26458883  2.71791983  2.53834987 -0.0708817
  2.85405636 -0.93115687 -2.44806671  0.13647978 -1.4852277  -1.21792579
 -4.74257755  1.59266675 -1.24540401  1.32017136]",[-5.6781673 -4.8994083]
1808,"[-2.41049933  2.43558073 -3.48741913  2.93838191  0.90056634 -1.68655741
  1.79752326  0.02959965 -4.62857628  1.48276043  0.02539954 -1.76089191
 -5.09119606  1.06643343 -2.52881455  1.88663626]",[-21.329676   -0.8354319]
1775,"[-1.36885309 -0.23022233 -1.48748267  2.66315985  1.46813929 -1.3195008
  3.10911345 -3.0379467  -1.27506387  1.99672985 -3.31689453 -0.97770715
 -2.94810891  1.31841528 -3.06811357 -0.14186692]",[ 9.376853 -4.374819]
1814,"[-2.48023081  2.13272858 -3.45083117  2.84459496  1.19570625 -0.76483601
  1.88295269  0.43391126 -3.85366559  0.98806512  0.00693011 -1.88615131
 -5.60168171  1.39905429 -2.20712733  2.06103063]",[-20.23591    -1.6025357]
1926,"[-2.49349165  0.93731695 -2.81739306  3.02719498  0.41565871 -1.37419951
  2.72818446  0.83532894 -3.57045221  1.11891615 -0.04014885 -2.11537647
 -4.99329758 -0.08919886 -2.06208324  0.61568409]",[-17.813562     0.93874836]
1965,"[-1.78763795 -3.39435863 -4.17225742  2.30676699  0.5274114  -0.17250715
  3.20469093 -0.93069464 -0.02093627 -2.08208728 -2.33269596 -3.45771217
 -2.48461914 -1.14640749 -3.84425259 -1.88317561]",[15.005181 32.08119 ]
2276,"[-2.17049551 -0.41653717 -3.31719065  3.49307728 -0.21020201 -1.71370912
  3.63390994  0.00468106 -2.19804215  0.75431424 -1.60118759 -0.75651968
 -2.52422929  0.6507864  -2.38839054 -0.76754475]",[  1.5488282 -15.888039 ]
1618,"[-1.93572474  0.15291725 -4.3404994   2.68438768  0.05205581 -1.17006183
  2.71156716  1.32790697 -3.8323679  -0.14819793 -0.37451676 -1.33958375
 -4.7845068  -0.25580186 -1.01455104  0.20482162]",[-13.764262   3.824671]
2163,"[-2.36135125 -1.78551531 -1.69321346  2.68739367  1.54258394 -1.18906069
  3.98457122 -0.21744087 -1.69875348  1.42300546 -1.13795137 -0.45759302
 -3.98162103  1.36339986 -2.72306132  0.04120383]",[ -5.0495524 -15.010134 ]
2262,"[-1.30825281 -1.09189594 -3.9587152   2.78469634 -0.45584047 -0.61647254
  3.76457381 -0.74569315 -2.16995358  0.83483964 -1.03504837 -1.593557
 -2.3181076  -0.10165462 -2.28194666 -0.18387008]",[  1.2360853 -14.059883 ]
2229,"[-0.56654894 -1.23355007 -2.32505178  2.84192109  0.87634951 -1.97627819
  3.8951242  -3.05294394 -1.95858252  2.33845615 -1.5795294   0.76287878
 -2.79720283  1.36759043 -1.20722222  0.12194432]",[  7.5528874 -10.707737 ]
2258,"[-1.92267966 -2.57669353 -2.17681599  1.60322583  2.08485985 -0.47059405
  3.76896906 -1.10399258 -0.05313785  0.43708128 -1.34771061 -2.5590024
 -3.23593688 -1.29641855 -3.08923817 -0.95341408]",[12.446866 22.271187]
1722,"[-2.86169171 -1.48761284 -3.41817188  1.95611453  2.28788066  0.11651113
  2.52870631  0.14365843 -1.18224251 -2.69126582 -2.60566044 -1.60697329
 -4.15183783  0.8168872  -2.65771985 -0.50503588]",[ 2.821452 26.867155]
2246,"[-0.77582133 -1.56688261 -2.94036818  2.62306976  1.13852882 -0.58451861
  3.18083501 -2.05766082 -1.47692895  2.04913855 -1.70745981 -1.92483079
 -2.20353603 -0.11829665 -2.71115088 -0.6833272 ]",[  2.0506063 -10.280175 ]
2183,"[-0.90948939 -1.45823967 -4.35347176  4.25983953 -0.543338   -0.70341146
  2.16251159 -4.58526325 -1.37439394  0.47863227 -4.24455023 -0.24652226
 -0.70697129  0.89199036 -4.50501633 -1.49997258]",[14.519483   2.3229887]
1897,"[-3.20754266 -2.09047008 -3.28351188  2.46772504  1.22543812  0.25814641
  2.98506856 -0.24886939 -0.32507518 -1.51564026 -1.85035658 -2.99626923
 -3.11725497 -0.35794958 -4.78588772 -1.30227554]",[15.293591 26.351936]
1899,"[-3.41791868 -2.02911901 -2.7114985   2.14870143  1.22863054 -0.18258309
  3.32319379 -0.64447439 -0.03975473 -0.89117926 -2.18036175 -2.96123791
 -3.22262764 -0.21916369 -4.85906458 -1.05854809]",[15.705642 25.142405]
2067,"[-1.53817952 -0.79034311 -2.82385707  2.56679893  1.0833627  -2.42889619
  4.51759052 -1.6720171  -2.49352384  1.89961755 -2.08169341  0.46565652
 -3.17859769  1.06198096 -0.89451385 -0.16324337]",[  6.4374356 -11.818169 ]
1961,"[-1.89342773 -3.3963995  -3.78391361  2.20501518  0.25291848 -0.08568728
  3.0560236  -0.96819347 -0.16000371 -1.3476851  -2.58014083 -3.04550815
 -2.84653115 -1.30848801 -4.28989744 -1.60362136]",[13.86033  32.193127]
1624,"[-2.14528799 -0.02841642 -2.53898263  1.60386097  0.91978264 -0.53457719
  3.01870298  0.69163859 -2.2779367   0.66879296  0.18243711 -3.30921936
 -4.97239447  0.34036583 -2.80106831  0.6749745 ]",[-14.2060995 -13.402414 ]
2231,"[-1.25975585 -0.58322608 -3.28810787  3.2867887  -0.69294077 -1.18015945
  3.62365246 -0.72204435 -2.34648776  0.93240869 -1.18123591 -1.35540307
 -2.68554115  0.06701756 -2.20235062 -1.11755335]",[  1.2031499 -14.881369 ]
1779,"[-2.73203564 -0.86234361 -2.64598012  3.15580177  0.72152621 -2.40311837
  4.0181098  -0.09288402 -2.45172668  1.02004766 -0.68483651 -0.6927647
 -3.84991527  0.33172077 -1.03974533  0.19457547]",[ -5.0199466 -10.845448 ]
2170,"[-2.73407602  0.4394933  -1.20276153  3.425143    0.7002188  -1.31638277
  3.35661435 -1.07198966 -2.37392235  2.88548589 -2.72178411 -2.02956271
 -2.7745266   3.10054135 -4.14095783  0.53328836]",[ -3.6643329 -21.909367 ]
1730,"[-2.46030378 -3.11224651 -3.26743102  2.36459708  1.23930204  0.26657593
  3.1229291  -1.36059999  0.05691418 -1.64476728 -2.60650253 -3.64302516
 -2.76105213 -0.62610239 -4.57272863 -1.63878024]",[15.2569275 30.004951 ]
2248,"[-1.05292618 -1.63033879 -3.07808447  3.12810016  0.84588528 -1.03825688
  3.62832642 -2.21490335 -1.38970339  1.99884665 -1.50915134 -1.95923054
 -2.58865499 -0.22530918 -2.5062151  -0.11188109]",[  2.0029397 -10.324448 ]
2252,"[-1.97635591e+00 -9.64630306e-01 -1.48554730e+00  2.67299604e+00
  3.67299706e-01 -1.01879513e+00  3.82097983e+00 -7.15400577e-01
 -1.39176297e+00  2.11097002e+00 -1.39074504e-01 -2.00936699e+00
 -3.38246942e+00  4.61850315e-01 -2.72088623e+00 -2.15645321e-03]",[ -2.6938808 -14.579969 ]
1939,"[-1.85271752  0.53461957 -5.32652617  3.517344    0.60217053 -0.61347878
  1.83989978  0.16426474 -4.04292345 -1.20901763 -1.11927938 -1.01567805
 -4.9005456   0.34311351 -1.99608994  1.13561535]",[-12.1015      1.1170468]
1809,"[-2.12816834  1.64215446 -3.6847291   2.63845515 -0.06581959 -1.42764342
  2.1575253   0.59597355 -4.4240222   1.17893243  0.1935301  -2.14625072
 -4.59813356 -0.09320715 -1.99325001  1.00429547]",[-19.597868     0.72179633]
1905,"[-0.88198632 -2.47819614 -2.43587494  2.58555222  3.49157476 -0.72182232
  3.12162662 -3.85964942 -1.34389019  0.76003742 -2.82730961 -1.10824502
 -3.5505867   2.21799135 -1.62900078  0.19546457]",[ 6.0153966 -4.7874556]
2232,"[-1.26432669 -1.62043321 -2.77574086  2.83516669  3.11498237 -0.18794097
  2.93055224 -2.69850183 -1.92832232 -0.09594111 -3.07933664  0.66474825
 -4.16102123  2.71078491 -1.51966083  0.63414365]",[ 6.385721 -6.404054]
1957,"[-2.24825096 -3.10401702 -3.80861568  2.34560609  0.66004491 -0.26749772
  2.568717   -1.08780646 -0.80822289 -1.0138123  -2.03277087 -3.81273103
 -2.6289773  -1.39866054 -3.74367285 -1.25566852]",[12.336664 33.782314]
2188,"[-0.6526159  -2.8664484  -2.22626686  3.80489278  1.92532945 -1.52352154
  3.42200208 -4.64814854 -1.21236849  1.24228537 -2.87179065 -1.67705989
 -2.65521407  1.71911108 -2.17422867 -0.52982283]",[ 7.9372745 -3.0744584]
1699,"[-1.01369822 -2.69238067 -2.27468324  3.09297132  2.4874506  -1.14933014
  3.01385355 -3.44285274 -1.25443363  0.07844532 -2.13884449 -1.17389822
 -4.37872744  0.92476928 -1.48050952  0.20559594]",[ 4.9226985 -4.3414655]
2063,"[-1.38003719 -0.11560497 -2.8173945   3.16624117  1.79548609 -2.62058759
  3.91659093 -2.44071698 -2.51234555  2.09088874 -1.74444366  1.52199638
 -3.19167209  1.76721132 -1.42699516  0.28684562]",[ 9.406492 -9.910664]
1712,"[-2.46656966 -2.89955401 -2.98547125  2.36783338  1.60400152  0.02453176
  2.8959775  -1.09024823 -0.46646622 -2.20944548 -2.57385492 -2.22854733
 -3.24438691 -0.32834223 -3.84892106 -1.32879257]",[11.926945 26.945835]
1743,"[-3.04043221 -1.5366205  -3.21834421  1.65788412  1.97308779  0.07408135
  2.895643    0.47951818 -0.98082554 -2.51135826 -1.97322333 -1.7717855
 -4.28908587  0.83021557 -2.33106875 -0.16981967]",[ 2.738586 27.408604]
2228,"[-0.84585249 -0.52786815 -3.04061794  3.62959194  0.25010633 -1.83045101
  3.45901871 -2.21917319 -3.42614388  2.36798072 -1.9718076   0.1491002
 -2.54644251  2.10398746 -1.18625009  0.52207905]",[  7.8504915 -11.734361 ]
1857,"[-2.30772161 -3.11897707 -3.51742268  1.99925387  1.43024886  0.11967406
  2.86721039 -1.88112533  0.10466799 -1.39840031 -2.37267518 -3.38150144
 -3.31336427 -0.32601035 -4.58218145 -1.5164324 ]",[15.914415 29.822268]
1967,"[-2.0343852  -3.47435021 -3.80834389  2.52463484  0.27469376 -0.27160621
  2.77667236 -0.69008207 -0.67128766 -1.35738289 -2.11698365 -3.11970997
 -2.63126183 -1.18062997 -3.76377439 -1.92135882]",[13.112702 33.03289 ]
1638,"[-1.70813715  0.33102494 -4.65721512  3.06948137  1.10407603 -0.62975508
  2.21481609  0.15162021 -3.97449732 -1.06058502 -0.85184908 -0.95730305
 -5.17891932  0.43733227 -1.47305     0.96708387]",[-12.001484    1.0470327]
1856,"[-2.00496149 -2.76424575 -2.95255899  1.75260425  0.71308059  0.24391335
  3.06815505 -0.61019945  0.04062461 -1.82955503 -2.07400107 -3.31731176
 -3.24991584 -0.61828029 -4.30029964 -1.56104279]",[13.943733 29.395365]
1664,"[-1.89542627 -1.17792571 -2.58662367  2.71484303  1.52930391 -1.48120737
  2.88308167 -2.11599445 -2.33628893 -0.01890787 -0.90987033 -1.87330329
 -4.55334854  0.34654272 -1.48234761  0.12053503]",[-3.6052973 -7.28625  ]
1754,"[-2.04184484 -2.63670087 -3.44773293  1.66008472  0.43016699 -0.69502962
  3.60455275 -0.42678887 -1.11652958 -1.04412067 -1.64420378 -1.72177517
 -2.94771314 -1.32420671 -2.85481691 -1.39716923]",[ 9.355643 24.47919 ]
1739,"[-2.22475123 -2.60595441 -3.89156985  1.96960354  0.63836569 -0.06304192
  3.03112507 -0.45182577 -1.19140732 -1.57602084 -1.5550077  -2.0711441
 -3.41419959 -1.18268239 -3.04800463 -0.98967534]",[ 9.170889 25.328115]
1942,"[-2.37949967  0.70970178 -3.23907042  3.0329082   0.5703423  -1.48994982
  2.75400209  0.03099667 -3.55841517  1.06612945 -0.20020048 -1.80471694
 -4.81075287 -0.12062474 -1.75255239  0.44913551]",[-17.174316    0.8531752]
1795,"[-2.23603058  0.96932489 -4.04553652  3.15452862  1.15740192 -0.94381714
  2.34105921  0.51668686 -4.21337652 -0.15951942 -0.15335685 -1.36338806
 -5.42660666 -0.00666854 -1.49637878  1.4152149 ]",[-14.558127    0.3210648]
1820,"[-2.43416429 -3.00477362 -2.84239745  2.16439056  1.55622566 -0.12119416
  3.18762946 -0.92866701 -0.03633332 -0.90302998 -2.29554176 -3.84807634
 -3.05010462 -0.47862816 -3.89339924 -1.11598289]",[14.892121 28.7677  ]
1958,"[-2.47765088 -2.8294549  -3.45268917  1.92859995  1.48060918  0.19895007
  2.98667717 -1.4943068   0.13496828 -1.30959845 -2.315552   -3.56071997
 -3.04667711 -0.60133547 -4.67106295 -1.40288341]",[15.545818 29.533024]
1729,"[-2.45954442e+00 -1.69222462e+00 -4.28143740e+00  2.70737219e+00
  1.08390248e+00 -3.08543537e-03  2.08677053e+00 -1.96502820e-01
 -1.76890516e+00 -3.03554988e+00 -2.49027133e+00 -1.90026760e+00
 -4.22277737e+00 -2.96658278e-01 -2.71404386e+00 -5.19922853e-01]",[ 5.075147 25.890865]
1659,"[-2.10126328 -1.87885177 -2.16694283  2.56808829  2.43167686 -1.06791329
  2.68747282 -1.63768446 -1.1022011   1.68373477 -1.13470352 -3.58756876
 -3.69348001  0.14619456 -3.07414651  0.55267572]",[-10.905583 -16.896381]
1650,"[-2.09218478  1.57129872 -3.42142463  3.25537181  0.7503286  -1.005355
  2.12559462  0.40366518 -3.75239468  0.56306398 -0.51828671 -1.69862175
 -5.27540016  0.30006537 -2.19517446  1.27730548]",[-18.552223    -0.02924707]
1788,"[-2.09872556 -1.28250957 -2.20195365  3.78655219  1.09351456 -1.99418402
  3.91447973 -0.43453768 -1.72232664  1.04860711 -1.43275535 -0.60674542
 -4.53390455  0.7165907  -1.36902845  0.39067259]",[ -4.321426 -11.63626 ]
1822,"[-2.69256377  1.74500942 -3.37732148  2.55473328 -0.23013544 -1.29724956
  2.23345137  0.88965684 -3.7243557   1.342978   -0.24685572 -2.03604412
 -4.40462971  0.12423569 -2.90238857  1.27203357]",[-20.750349    1.5323874]
1887,"[-2.58012557 -1.97405314 -3.92158771  2.1819036   0.6749689  -0.08393522
  2.36897635 -0.81901276 -0.93886995 -2.22307324 -2.34711242 -2.0649581
 -3.25765133 -0.81099147 -3.65883636 -1.44478631]",[ 8.652954 27.74628 ]
1963,"[-2.03237247 -3.5082233  -3.92038941  2.64684701  0.92081636  0.02026476
  2.85744405 -1.91003907 -0.46001798 -1.52688479 -2.54042745 -3.32271194
 -2.44435287 -0.96073568 -4.22099257 -1.72014999]",[15.466333 33.1872  ]
1900,"[-3.19823384 -1.73572743 -3.01896119  2.48794556  0.93591428  0.13274612
  2.42794728 -0.36955658 -0.64706993 -1.79462087 -2.16880846 -3.11429286
 -3.54901195 -0.22201642 -5.03530836 -1.24362648]",[15.812441 26.293106]
2240,"[-0.6790694  -1.1954366  -3.1018002   3.95181465  1.95231426 -0.70441741
  2.86898041 -3.34976387 -3.45082831  0.48216867 -2.39490438  0.40363669
 -4.35451889  2.79776883 -1.22747362  0.95437294]",[ 6.7126775 -7.709138 ]
2245,"[-0.86035556 -1.57428217 -3.50775003  2.62058377  0.65432644 -0.64112276
  3.11249089 -1.55382502 -1.5884949   1.04169512 -1.33816218 -1.73369241
 -2.56999779 -0.17378974 -1.85493279 -0.03346125]",[  1.401492 -11.282163]
1902,"[-2.53942394 -2.90041566 -3.81467009  2.35734701  1.19990849  0.16595751
  2.94248629 -1.38412285 -0.11930864 -1.72054207 -2.39430285 -3.3394649
 -2.97142649 -0.46562013 -4.44724989 -1.74878049]",[15.362945 30.257183]
2281,"[-1.21982288 -0.10488447 -3.11958766  1.47253048  0.03632943 -0.94909626
  4.83844471  2.16807914 -3.19456887 -0.82885224 -2.22240686 -0.29429039
 -2.92639303 -0.12169854 -2.75263095 -1.10973608]",[  4.226789 -17.097961]
